cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj,valor,instituicao,ente_uf,cores,MicroRegion
2304954,Guaiúba,0,NE,CE,M,2020,26064,12359535000132,1604911.95,Câmara de Vereadores de Guaiúba - CE,Guaiúba-CE,blue,23016
2305001,Guaraciaba do Norte,0,NE,CE,M,2020,40642,07569205000131,1903348,Câmara de Vereadores de Guaraciaba do Norte - CE,Guaraciaba do Norte-CE,blue,23002
2305100,Guaramiranga,0,NE,CE,M,2020,5193,07606478000109,614861.9,Câmara de Vereadores de Guaramiranga - CE,Guaramiranga-CE,red,23013
2305209,Hidrolândia,0,NE,CE,M,2020,19978,07707680000127,1036767.47,Câmara de Vereadores de Hidrolândia - CE,Hidrolândia-CE,blue,23007
2305233,Horizonte,0,NE,CE,M,2020,67337,23555196000186,5787789.87,Câmara de Vereadores de Horizonte - CE,Horizonte-CE,blue,23017
2305266,Ibaretama,0,NE,CE,M,2020,13353,23444680000138,803468.34,Câmara de Vereadores de Ibaretama - CE,Ibaretama-CE,blue,23019
2305308,Ibiapina,0,NE,CE,M,2020,24997,07523186000102,1383323.72,Câmara de Vereadores de Ibiapina - CE,Ibiapina-CE,blue,23002
2305332,Ibicuitinga,0,NE,CE,M,2020,12525,12461646000155,771772.02,Câmara de Vereadores de Ibicuitinga - CE,Ibicuitinga-CE,blue,23023
2305357,Icapuí,0,NE,CE,M,2020,19934,10393593000157,1705054.71,Câmara de Vereadores de Icapuí - CE,Icapuí-CE,blue,23022
2305407,Icó,0,NE,CE,M,2020,68018,07669682000179,2454639.28,Câmara de Vereadores de Icó - CE,Icó-CE,blue,23026
2305506,Iguatu,0,NE,CE,M,2020,102498,07810468000190,4248995.57,Câmara de Vereadores de Iguatu - CE,Iguatu-CE,blue,23026
2305605,Independência,0,NE,CE,M,2020,26178,07982028000110,1549464.67,Câmara de Vereadores de Independência - CE,Independência-CE,blue,23018
2305654,Ipaporanga,0,NE,CE,M,2020,11593,10462364000147,882944.31,Câmara de Vereadores de Ipaporanga - CE,Ipaporanga-CE,blue,23018
2305704,Ipaumirim,0,NE,CE,M,2020,12463,07520141000184,798773.4,Câmara de Vereadores de Ipaumirim - CE,Ipaumirim-CE,blue,23028
2305803,Ipu,0,NE,CE,M,2020,41964,07679723000108,1863051.02,Câmara de Vereadores de Ipu - CE,Ipu-CE,blue,23006
2305902,Ipueiras,0,NE,CE,M,2020,38166,07680846000169,1700086.96,Câmara de Vereadores de Ipueiras - CE,Ipueiras-CE,blue,23006
2306009,Iracema,0,NE,CE,M,2020,14297,07891658000180,1331101.6,Câmara de Vereadores de Iracema - CE,Iracema-CE,blue,23025
2306108,Irauçuba,0,NE,CE,M,2020,24156,07683188000169,1239348.11,Câmara de Vereadores de Irauçuba - CE,Irauçuba-CE,blue,23005
2306207,Itaiçaba,0,NE,CE,M,2020,7827,07403769000108,661125.22,Câmara de Vereadores de Itaiçaba - CE,Itaiçaba-CE,red,23022
2306256,Itaitinga,0,NE,CE,M,2020,37980,41563628000182,2250199.3,Câmara de Vereadores de Itaitinga - CE,Itaitinga-CE,blue,23016
2306306,Itapajé,0,NE,CE,M,2020,52675,07683956000184,2504726.57,Câmara de Vereadores de Itapajé - CE,Itapajé-CE,blue,23010
2306405,Itapipoca,0,NE,CE,M,2020,129358,07623077000167,3726984.28,Câmara de Vereadores de Itapipoca - CE,Itapipoca-CE,blue,23008
2306504,Itapiúna,0,NE,CE,M,2020,20382,07387509000188,1327783.44,Câmara de Vereadores de Itapiúna - CE,Itapiúna-CE,blue,23013
2306553,Itarema,0,NE,CE,M,2020,41826,07663941000154,2237799.14,Câmara de Vereadores de Itarema - CE,Itarema-CE,blue,23001
2306603,Itatira,0,NE,CE,M,2020,21647,07963739000148,NA,NA,Itatira-CE,blue,23012
2306702,Jaguaretama,0,NE,CE,M,2020,18162,07442825000105,1269438.29,Câmara de Vereadores de Jaguaretama - CE,Jaguaretama-CE,blue,23024
2306801,Jaguaribara,0,NE,CE,M,2020,11401,07442981000176,907840.69,Câmara de Vereadores de Jaguaribara - CE,Jaguaribara-CE,blue,23024
2306900,Jaguaribe,0,NE,CE,M,2020,34682,07443708000166,2079686.2,Câmara de Vereadores de Jaguaribe - CE,Jaguaribe-CE,blue,23024
2307007,Jaguaruana,0,NE,CE,M,2020,33705,07615750000117,1724860.72,Câmara de Vereadores de Jaguaruana - CE,Jaguaruana-CE,blue,23023
2307106,Jardim,0,NE,CE,M,2020,27174,07391006000186,1443176.07,Câmara de Vereadores de Jardim - CE,Jardim-CE,blue,23032
