instituicao,cod_ibge,uf,populacao,demais,adm,legis,total
Prefeitura Municipal de Adolfo - SP,3500204,SP,3571,23024561.87,3124113,1260000,27408674.87
Prefeitura Municipal de Adrianópolis - PR,4100202,PR,5983,25861417,7176977.6,1502500,34540894.6
Prefeitura Municipal de Adustina - BA,2900355,BA,16784,36333449.38,6066550.62,1600000,44000000
Prefeitura Municipal de Afogados da Ingazeira - PE,2600104,PE,37111,95758200,7491800,3550000,106800000
Prefeitura Municipal de Afonso Bezerra - RN,2400307,RN,11041,26877213,8910037,1200000,36987250
Prefeitura Municipal de Afonso Cláudio - ES,3200102,ES,30720,69218111.14,13289267.7,3600000,86107378.84
Prefeitura Municipal de Afonso Cunha - MA,2100105,MA,6469,28239264.68,3513351.89,669760,32422376.57
Prefeitura Municipal de Afrânio - PE,2600203,PE,19456,52919629.31,8476170.690000001,2000000,63395800
Prefeitura Municipal de Afuá - PA,1500305,PA,38863,98797014.04,4837985.96,1801000,105436000
Prefeitura Municipal de Agrestina - PE,2600302,PE,24702,77890297.17,8521702.83,2988000,89400000
Prefeitura Municipal de Agricolândia - PI,2200103,PI,5148,16882700,3109500,679800,20672000
Prefeitura Municipal de Agrolândia - SC,4200200,SC,10711,30961125.25,3311500,1425000,35697625.25
Prefeitura Municipal de Agronômica - SC,4200309,SC,5385,40603917.7,7883600,2196000,50683517.7
Prefeitura Municipal de Água Azul do Norte - PA,1500347,PA,27241,69085138.8,7258074.59,3000000,79343213.39
Prefeitura Municipal de Água Boa - MG,3100609,MG,13600,33853161.4,2988232.95,1586000,38427394.35
Prefeitura Municipal de Água Boa - MT,5100201,MT,25229,109562978.78,15898208,3600000,129061186.78
Prefeitura Municipal de Água Branca - AL,2700102,AL,20162,56827160.46,5561825.35,1663868.19,64052854
Prefeitura Municipal de Água Branca - PB,2500106,PB,10161,37334683,2731632,864000,40930315
Prefeitura Municipal de Água Branca - PI,2200202,PI,17349,45784223.71,4980776.29,1575000,52340000
Prefeitura Municipal de Água Clara - MS,5000203,MS,15257,60347020.17,11603191.39,3544788.44,75495000
